INFO | 2018-10-08 12:24:47,044 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/admin/save],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdminController.adminSave(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Boolean,java.lang.String,java.lang.String,java.lang.Integer,java.lang.String) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,044 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/admin/add],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdminController.getAdminMemberAdd(javax.servlet.http.HttpServletRequest) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,046 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/advertisement/update],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdvertisementController.update(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer,java.lang.String,java.lang.String,java.lang.Integer) throws java.lang.Exception
INFO | 2018-10-08 12:24:47,046 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/advertisement/save],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdvertisementController.save(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Integer,java.lang.String,java.lang.String,java.lang.Integer) throws java.lang.Exception
INFO | 2018-10-08 12:24:47,046 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/advertisement/toEdit],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdvertisementController.advertisementToEdit(javax.servlet.http.HttpServletRequest,java.lang.Integer) throws java.sql.SQLException,java.io.UnsupportedEncodingException,javax.xml.soap.SOAPException,javax.xml.rpc.ServiceException,java.io.IOException
INFO | 2018-10-08 12:24:47,046 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/advertisement/list],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdvertisementController.shopList(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.Integer)
INFO | 2018-10-08 12:24:47,047 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/advertisement/product/list],methods=[POST]}" onto public java.util.List<com.cxgm.domain.Product> com.cxgm.controller.AdvertisementController.haixinGood(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
INFO | 2018-10-08 12:24:47,047 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/advertisement/delete],methods=[GET],produces=[text/json;charset=UTF-8]}" onto public java.lang.String com.cxgm.controller.AdvertisementController.productDelete(javax.servlet.http.HttpServletRequest) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,047 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/advertisement/toAdd],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AdvertisementController.shopToAdd(javax.servlet.http.HttpServletRequest) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,047 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/appUser/list],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.AppUserController.shopList(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.Integer)
